season_id,draft_id,match_id,player1,player2,player1Wins,player2Wins,draws,round
Season-4,20241020,Season-4_20241020_4_Guy_Tobi,Guy,Tobi,1,1,1,4
Season-4,20241020,Season-4_20241020_4_Elie_Pali,Elie,Pali,1,2,0,4
Season-4,20241124,Season-4_20241124_1_Tinu_Dimlas,Tinu,Dimlas,0,2,0,1
Season-4,20241124,Season-4_20241124_1_Manuel_Ivo,Manuel,Ivo,0,2,0,1
Season-4,20241124,Season-4_20241124_1_Valentin_Guy,Valentin,Guy,0,2,0,1
Season-4,20241124,Season-4_20241124_1_Noe T._Yannik,Noe T.,Yannik,2,0,0,1
Season-4,20241124,Season-4_20241124_1_Andrin_Tommy,Andrin,Tommy,1,2,0,1
Season-4,20241124,Season-4_20241124_1_Joel K._Sili,Joel K.,Sili,0,2,0,1
Season-4,20241124,Season-4_20241124_2_Dimlas_Guy,Dimlas,Guy,2,0,0,2
Season-4,20241124,Season-4_20241124_2_Manuel_Andrin,Manuel,Andrin,0,2,0,2
Season-4,20241124,Season-4_20241124_2_Tinu_Yannik,Tinu,Yannik,2,0,0,2
Season-4,20241124,Season-4_20241124_2_Sili_Noe T.,Sili,Noe T.,2,1,0,2
Season-4,20241124,Season-4_20241124_2_Tommy_Ivo,Tommy,Ivo,2,0,0,2
Season-4,20241124,Season-4_20241124_2_Valentin_Joel K.,Valentin,Joel K.,2,0,0,2
Season-4,20241124,Season-4_20241124_3_Joel K._Yannik,Joel K.,Yannik,1,1,1,3
Season-4,20241124,Season-4_20241124_3_Ivo_Andrin,Ivo,Andrin,2,1,0,3
Season-4,20241124,Season-4_20241124_3_Tinu_Noe T.,Tinu,Noe T.,2,0,0,3
Season-4,20241124,Season-4_20241124_3_Valentin_Manuel,Valentin,Manuel,2,1,0,3
Season-4,20241124,Season-4_20241124_3_Dimlas_Tommy,Dimlas,Tommy,2,1,0,3
Season-4,20241124,Season-4_20241124_3_Sili_Guy,Sili,Guy,2,0,0,3
Season-4,20241124,Season-4_20241124_4_Yannik_Manuel,Yannik,Manuel,1,2,0,4
Season-4,20241124,Season-4_20241124_4_Noe T._Andrin,Noe T.,Andrin,1,2,0,4
Season-4,20241124,Season-4_20241124_4_Tinu_Tommy,Tinu,Tommy,1,2,0,4
Season-4,20241124,Season-4_20241124_4_Joel K._Guy,Joel K.,Guy,0,2,0,4
Season-4,20241124,Season-4_20241124_4_Dimlas_Sili,Dimlas,Sili,2,0,0,4
Season-4,20241124,Season-4_20241124_4_Ivo_Valentin,Ivo,Valentin,2,0,0,4
Season-4,20241208,Season-4_20241208_1_Dimlas_Valentin,Dimlas,Valentin,2,0,0,1
Season-4,20241208,Season-4_20241208_1_Manuel_Joel K.,Manuel,Joel K.,2,1,0,1
Season-4,20241208,Season-4_20241208_1_Tommy_Yannik,Tommy,Yannik,1,1,1,1
Season-4,20241208,Season-4_20241208_1_Sili_Noe T.,Sili,Noe T.,2,1,0,1
Season-4,20241208,Season-4_20241208_1_Lukas Stalder_Matthias,Lukas Stalder,Matthias,2,0,0,1
Season-4,20241208,Season-4_20241208_1_Luca_Andrin,Luca,Andrin,2,1,0,1
Season-4,20241208,Season-4_20241208_2_Valentin_Joel K.,Valentin,Joel K.,2,0,0,2
Season-4,20241208,Season-4_20241208_2_Sili_Tommy,Sili,Tommy,0,2,0,2
Season-4,20241208,Season-4_20241208_2_Matthias_Noe T.,Matthias,Noe T.,2,0,0,2
Season-4,20241208,Season-4_20241208_2_Yannik_Andrin,Yannik,Andrin,1,2,0,2
Season-4,20241208,Season-4_20241208_2_Lukas Stalder_Luca,Lukas Stalder,Luca,2,0,0,2
Season-4,20241208,Season-4_20241208_2_Manuel_Dimlas,Manuel,Dimlas,1,2,0,2
Season-4,20241208,Season-4_20241208_3_Valentin_Sili,Valentin,Sili,0,2,0,3
Season-4,20241208,Season-4_20241208_3_Lukas Stalder_Dimlas,Lukas Stalder,Dimlas,1,2,0,3
Season-4,20241208,Season-4_20241208_3_Joel K._Noe T.,Joel K.,Noe T.,1,2,0,3
Season-4,20241208,Season-4_20241208_3_Luca_Yannik,Luca,Yannik,2,0,0,3
Season-4,20241208,Season-4_20241208_3_Manuel_Andrin,Manuel,Andrin,1,2,0,3
Season-4,20241208,Season-4_20241208_3_Tommy_Matthias,Tommy,Matthias,1,1,1,3
Season-4,20241208,Season-4_20241208_4_Yannik_Joel K.,Yannik,Joel K.,2,0,0,4
Season-4,20241208,Season-4_20241208_4_Andrin_Tommy,Andrin,Tommy,0,2,0,4
Season-4,20241208,Season-4_20241208_4_Dimlas_Luca,Dimlas,Luca,1,2,0,4
Season-4,20241208,Season-4_20241208_4_Manuel_Noe T.,Manuel,Noe T.,1,2,0,4
Season-4,20241208,Season-4_20241208_4_Matthias_Valentin,Matthias,Valentin,1,2,0,4
Season-4,20241208,Season-4_20241208_4_Lukas Stalder_Sili,Lukas Stalder,Sili,0,2,0,4
Season-4,20241228,Season-4_20241228_1_Tobi_Andrin,Tobi,Andrin,1,1,1,1
Season-4,20241228,Season-4_20241228_1_Yannik_Lukas Stalder,Yannik,Lukas Stalder,0,2,0,1
Season-4,20241228,Season-4_20241228_1_Sili_Tommy,Sili,Tommy,1,1,1,1
Season-4,20241228,Season-4_20241228_1_Noe T._Joel K.,Noe T.,Joel K.,1,2,0,1
