season_id,scryfallId,card_name,archetype,games_played,games_won,game_winrate
Season-4,106f9629-b3aa-4703-82fb-c1e771bbce72,The Wandering Emperor,Control-Aggro (Midrange),9,2,0.2222222222222222
Season-4,107492bd-b32f-4692-917c-7771986b5bf7,Thespian's Stage,Combo,41,20,0.4878048780487805
Season-4,107492bd-b32f-4692-917c-7771986b5bf7,Thespian's Stage,Combo-Control,20,11,0.55
Season-4,107492bd-b32f-4692-917c-7771986b5bf7,Thespian's Stage,Control-Aggro (Midrange),10,5,0.5
Season-4,1132218d-56cd-441e-9006-df3c50344491,Joraga Treespeaker,Aggro-Combo,21,10,0.4761904761904761
Season-4,1132218d-56cd-441e-9006-df3c50344491,Joraga Treespeaker,Aggro-Control (Tempo),17,7,0.4117647058823529
Season-4,1132218d-56cd-441e-9006-df3c50344491,Joraga Treespeaker,Combo,11,4,0.3636363636363636
Season-4,1132218d-56cd-441e-9006-df3c50344491,Joraga Treespeaker,Combo-Control,11,5,0.4545454545454545
Season-4,1132218d-56cd-441e-9006-df3c50344491,Joraga Treespeaker,Control,8,1,0.125
Season-4,1132218d-56cd-441e-9006-df3c50344491,Joraga Treespeaker,Control-Aggro (Midrange),28,11,0.3928571428571428
Season-4,113f48b9-a972-4e2c-af95-05ab078e01f2,Tranquil Landscape,Combo,19,9,0.4736842105263157
Season-4,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,Tireless Provisioner,Aggro,17,10,0.5882352941176471
Season-4,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,Tireless Provisioner,Combo,10,7,0.7
Season-4,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,Tireless Provisioner,Combo-Control,22,10,0.4545454545454545
Season-4,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,Tireless Provisioner,Control,9,6,0.6666666666666666
Season-4,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,Tireless Provisioner,Control-Aggro (Midrange),8,1,0.125
Season-4,139b90cd-8272-457a-be32-1298145345be,Watery Grave,Aggro-Control (Tempo),9,5,0.5555555555555556
Season-4,139b90cd-8272-457a-be32-1298145345be,Watery Grave,Combo,37,21,0.5675675675675675
Season-4,139b90cd-8272-457a-be32-1298145345be,Watery Grave,Control,39,20,0.5128205128205128
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Scrubland,Aggro,10,6,0.6
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Scrubland,Aggro-Control (Tempo),9,5,0.5555555555555556
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Scrubland,Combo,9,3,0.3333333333333333
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Scrubland,Combo-Control,9,6,0.6666666666666666
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Scrubland,Control,17,7,0.4117647058823529
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Scrubland,Control-Aggro (Midrange),10,4,0.4
Season-4,1453f92e-df2d-4789-aa1b-a5b5c51567d4,Preordain,Aggro-Control (Tempo),19,9,0.4736842105263157
Season-4,1453f92e-df2d-4789-aa1b-a5b5c51567d4,Preordain,Combo,48,23,0.4791666666666667
Season-4,1453f92e-df2d-4789-aa1b-a5b5c51567d4,Preordain,Combo-Control,11,5,0.4545454545454545
Season-4,1453f92e-df2d-4789-aa1b-a5b5c51567d4,Preordain,Control,30,14,0.4666666666666667
Season-4,1453f92e-df2d-4789-aa1b-a5b5c51567d4,Preordain,Control-Aggro (Midrange),8,2,0.25
Season-4,1571b584-9007-45ee-a3c3-6c72f227fee2,Mystical Tutor,Combo,75,38,0.5066666666666667
Season-4,1571b584-9007-45ee-a3c3-6c72f227fee2,Mystical Tutor,Control,8,2,0.25
Season-4,1571b584-9007-45ee-a3c3-6c72f227fee2,Mystical Tutor,Control-Aggro (Midrange),8,2,0.25
Season-4,15c34f32-49d9-4a0d-83b2-28172f54fdd1,Crop Rotation,Aggro-Combo,10,5,0.5
Season-4,15c34f32-49d9-4a0d-83b2-28172f54fdd1,Crop Rotation,Combo,20,11,0.55
Season-4,15c34f32-49d9-4a0d-83b2-28172f54fdd1,Crop Rotation,Combo-Control,20,8,0.4
Season-4,15c34f32-49d9-4a0d-83b2-28172f54fdd1,Crop Rotation,Control-Aggro (Midrange),8,1,0.125
Season-4,15db4353-9c46-4fe4-b22e-0cf024aa9dfc,Grim Lavamancer,Aggro,29,14,0.4827586206896552
Season-4,15db4353-9c46-4fe4-b22e-0cf024aa9dfc,Grim Lavamancer,Combo-Control,9,3,0.3333333333333333
Season-4,15db4353-9c46-4fe4-b22e-0cf024aa9dfc,Grim Lavamancer,Control,9,8,0.8888888888888888
Season-4,15faa763-b897-4e86-b094-73f3236291a9,Verdant Catacombs,Combo,39,22,0.5641025641025641
Season-4,15faa763-b897-4e86-b094-73f3236291a9,Verdant Catacombs,Combo-Control,11,5,0.4545454545454545
Season-4,15faa763-b897-4e86-b094-73f3236291a9,Verdant Catacombs,Control,45,23,0.5111111111111111
Season-4,162018eb-5483-4fa2-9c5a-abb639eecf91,"Kiki-Jiki, Mirror Breaker",Aggro,16,7,0.4375
Season-4,162018eb-5483-4fa2-9c5a-abb639eecf91,"Kiki-Jiki, Mirror Breaker",Combo-Control,31,18,0.5806451612903226
Season-4,162e81d3-6cd4-4cb8-8ed8-cfbd8d34ca71,Mind Stone,Combo,10,6,0.6
Season-4,162e81d3-6cd4-4cb8-8ed8-cfbd8d34ca71,Mind Stone,Control,39,17,0.4358974358974359
Season-4,1658f12b-8ac5-4d29-86d5-f20c4d5f7e48,Vindicate,Combo,8,0,0.0
Season-4,1658f12b-8ac5-4d29-86d5-f20c4d5f7e48,Vindicate,Control,11,6,0.5454545454545454
Season-4,16c8d2fa-54a7-46e8-980c-905258497c90,Arid Mesa,Aggro,28,19,0.6785714285714286
Season-4,16c8d2fa-54a7-46e8-980c-905258497c90,Arid Mesa,Combo,21,12,0.5714285714285714
Season-4,16c8d2fa-54a7-46e8-980c-905258497c90,Arid Mesa,Combo-Control,21,8,0.3809523809523809
Season-4,16c8d2fa-54a7-46e8-980c-905258497c90,Arid Mesa,Control,39,26,0.6666666666666666
Season-4,1716b4dd-9045-462b-b053-72de450a8cde,Blood Crypt,Aggro,19,10,0.5263157894736842
Season-4,1716b4dd-9045-462b-b053-72de450a8cde,Blood Crypt,Combo,28,14,0.5
Season-4,1716b4dd-9045-462b-b053-72de450a8cde,Blood Crypt,Combo-Control,11,8,0.7272727272727273
Season-4,1716b4dd-9045-462b-b053-72de450a8cde,Blood Crypt,Control,9,4,0.4444444444444444
Season-4,1716b4dd-9045-462b-b053-72de450a8cde,Blood Crypt,Control-Aggro (Midrange),10,6,0.6
Season-4,17260fff-b239-4af4-9306-3236ae3fa5a5,Thundering Falls,Combo,9,3,0.3333333333333333
Season-4,17260fff-b239-4af4-9306-3236ae3fa5a5,Thundering Falls,Combo-Control,30,14,0.4666666666666667
Season-4,17260fff-b239-4af4-9306-3236ae3fa5a5,Thundering Falls,Control,26,15,0.5769230769230769
Season-4,175b3d28-5c74-4972-9b5c-5e39762c78f4,Relic of Sauron,Combo,56,22,0.3928571428571428
Season-4,175b3d28-5c74-4972-9b5c-5e39762c78f4,Relic of Sauron,Control,7,2,0.2857142857142857
Season-4,1785cb18-c291-4fd5-b8c7-ace893c32e49,Mesmeric Fiend,Aggro,8,1,0.125
Season-4,1785cb18-c291-4fd5-b8c7-ace893c32e49,Mesmeric Fiend,Combo,19,8,0.4210526315789473
Season-4,1785cb18-c291-4fd5-b8c7-ace893c32e49,Mesmeric Fiend,Combo-Control,40,25,0.625
Season-4,1785cb18-c291-4fd5-b8c7-ace893c32e49,Mesmeric Fiend,Control,15,6,0.4
Season-4,17db2b6a-eaa8-4a08-9e86-370bbd058574,Bayou,Combo,33,15,0.4545454545454545
Season-4,17db2b6a-eaa8-4a08-9e86-370bbd058574,Bayou,Control,31,21,0.6774193548387096
Season-4,17db2b6a-eaa8-4a08-9e86-370bbd058574,Bayou,Control-Aggro (Midrange),31,16,0.5161290322580645
Season-4,17f28b16-da65-41a8-ba4f-f1c5e104aad6,Council's Judgment,Aggro,56,35,0.625
Season-4,17f28b16-da65-41a8-ba4f-f1c5e104aad6,Council's Judgment,Control,19,7,0.3684210526315789
Season-4,17f28b16-da65-41a8-ba4f-f1c5e104aad6,Council's Judgment,Control-Aggro (Midrange),10,6,0.6
Season-4,18092f68-b96e-4084-9eba-b240d2195d81,"Adeline, Resplendent Cathar",Aggro,48,26,0.5416666666666666
Season-4,18092f68-b96e-4084-9eba-b240d2195d81,"Adeline, Resplendent Cathar",Combo-Control,9,3,0.3333333333333333
Season-4,18092f68-b96e-4084-9eba-b240d2195d81,"Adeline, Resplendent Cathar",Control-Aggro (Midrange),9,2,0.2222222222222222
Season-4,187b6719-e5ed-4615-a00b-3313ceca055b,Currency Converter,Combo,37,18,0.4864864864864865
Season-4,187e887c-c39d-4d25-a506-cdc95fc70316,"Gideon, Ally of Zendikar",Aggro,38,20,0.5263157894736842
Season-4,187e887c-c39d-4d25-a506-cdc95fc70316,"Gideon, Ally of Zendikar",Aggro-Control (Tempo),8,2,0.25
Season-4,187e887c-c39d-4d25-a506-cdc95fc70316,"Gideon, Ally of Zendikar",Control-Aggro (Midrange),9,2,0.2222222222222222
Season-4,18a3cca1-e50e-49b6-9e1a-f86640e3b177,Snuff Out,Aggro,29,16,0.5517241379310345
Season-4,18a3cca1-e50e-49b6-9e1a-f86640e3b177,Snuff Out,Aggro-Control (Tempo),10,8,0.8
Season-4,18a3cca1-e50e-49b6-9e1a-f86640e3b177,Snuff Out,Combo,39,20,0.5128205128205128
Season-4,18a3cca1-e50e-49b6-9e1a-f86640e3b177,Snuff Out,Combo-Control,11,5,0.4545454545454545
Season-4,18a3cca1-e50e-49b6-9e1a-f86640e3b177,Snuff Out,Control,7,4,0.5714285714285714
Season-4,18adbda4-8d36-47cd-afbc-c785aaa8ed80,Blightsteel Colossus,Combo,39,13,0.3333333333333333
Season-4,18adbda4-8d36-47cd-afbc-c785aaa8ed80,Blightsteel Colossus,Control,7,2,0.2857142857142857
Season-4,18bd50f2-c3ba-4217-a2d5-bb771e199706,Vampiric Tutor,Combo,77,34,0.4415584415584415
Season-4,18bd50f2-c3ba-4217-a2d5-bb771e199706,Vampiric Tutor,Control,19,9,0.4736842105263157
Season-4,18bd50f2-c3ba-4217-a2d5-bb771e199706,Vampiric Tutor,Control-Aggro (Midrange),10,4,0.4
