,player_id,session,elo
411,24,S4D8,961.6
412,24,S4D9,961.6
413,24,S4D10,961.6
414,24,S4D11,961.6
415,25,S1D1,1000
416,25,S1D2,1000
417,25,S1D3,1000
418,25,S1D4,1000
419,25,S1D5,1000
420,25,S1D6,1000
421,25,S1D7,1000
422,25,S1D8,1000
423,25,S1D9,1000
424,25,S1D10,1000
425,25,S1D11,1000
426,25,S2D1,1000
427,25,S2D2,1000
428,25,S2D3,1000
429,25,S2D4,1000
430,25,S2D5,974.4
431,25,S2D6,974.4
432,25,S2D7,968
433,25,S2D8,968
434,25,S2D9,974.4
435,25,S2D10,974.4
436,25,S2D11,974.4
437,25,S2D12,974.4
438,25,S3D1,974.4
439,25,S3D2,974.4
440,25,S3D3,974.4
441,25,S3D4,974.4
442,25,S3D5,974.4
443,25,S3D6,974.4
444,25,S3D7,974.4
445,25,S3D8,974.4
446,25,S3D9,974.4
447,25,S3D10,974.4
448,25,S3D11,974.4
449,25,S3D12,974.4
450,25,S4D1,974.4
451,25,S4D2,974.4
452,25,S4D3,974.4
453,25,S4D4,974.4
454,25,S4D5,974.4
455,25,S4D6,974.4
456,25,S4D7,974.4
457,25,S4D8,974.4
458,25,S4D9,974.4
459,25,S4D10,974.4
460,25,S4D11,974.4
461,22,S1D1,1000
462,22,S1D2,1000
463,22,S1D3,1000
464,22,S1D4,1000
465,22,S1D5,1000
466,22,S1D6,1000
467,22,S1D7,1000
468,22,S1D8,1000
469,22,S1D9,1000
470,22,S1D10,1000
471,22,S1D11,1000
472,22,S2D1,1000
473,22,S2D2,1000
474,22,S2D3,1000
475,22,S2D4,1000
476,22,S2D5,1000
477,22,S2D6,1000
478,22,S2D7,1000
479,22,S2D8,1000
480,22,S2D9,1000
481,22,S2D10,1000
482,22,S2D11,1000
483,22,S2D12,1000
484,22,S3D1,1000
485,22,S3D2,1000
486,22,S3D3,1000
487,22,S3D4,1000
488,22,S3D5,1000
489,22,S3D6,1000
490,22,S3D7,1000
491,22,S3D8,1000
492,22,S3D9,1000
493,22,S3D10,1000
494,22,S3D11,1000
495,22,S3D12,1000
496,22,S4D1,1000
497,22,S4D2,1000
498,22,S4D3,1000
499,22,S4D4,1035.2
500,22,S4D5,1035.2
501,22,S4D6,1035.2
502,22,S4D7,1035.2
503,22,S4D8,1035.2
504,22,S4D9,1035.2
505,22,S4D10,1035.2
506,22,S4D11,1035.2
507,26,S1D1,1000
508,26,S1D2,1000
509,26,S1D3,1000
510,26,S1D4,1000
511,26,S1D5,1000
512,26,S1D6,1016
513,26,S1D7,1048
514,26,S1D8,1044.8
515,26,S1D9,1025.6
516,26,S1D10,1057.6
517,26,S1D11,1057.6
518,26,S2D1,1057.6
519,26,S2D2,1115.2
520,26,S2D3,1115.2
521,26,S2D4,1076.8
522,26,S2D5,1076.8
523,26,S2D6,1076.8
524,26,S2D7,1076.8
525,26,S2D8,1076.8
526,26,S2D9,1076.8
527,26,S2D10,1076.8
528,26,S2D11,1076.8
529,26,S2D12,1076.8
530,26,S3D1,1076.8
531,26,S3D2,1076.8
532,26,S3D3,1076.8
533,26,S3D4,1076.8
534,26,S3D5,1076.8
535,26,S3D6,1076.8
536,26,S3D7,1076.8
537,26,S3D8,1076.8
538,26,S3D9,1076.8
539,26,S3D10,1076.8
540,26,S3D11,1076.8
541,26,S3D12,1076.8
542,26,S4D1,1076.8
543,26,S4D2,1076.8
544,26,S4D3,1076.8
545,26,S4D4,1076.8
546,26,S4D5,1076.8
547,26,S4D6,1076.8
548,26,S4D7,1076.8
549,26,S4D8,1076.8
550,26,S4D9,1076.8
551,26,S4D10,1076.8
552,26,S4D11,1076.8
553,3,S1D1,1016
554,3,S1D2,1000
555,3,S1D3,968
556,3,S1D4,958.4
557,3,S1D5,980.8
558,3,S1D6,980.8
559,3,S1D7,980.8
560,3,S1D8,980.8
561,3,S1D9,980.8
562,3,S1D10,990.4
563,3,S1D11,980.8
564,3,S2D1,980.8
565,3,S2D2,958.4
566,3,S2D3,968
567,3,S2D4,1003.2
568,3,S2D5,1009.6
569,3,S2D6,958.4
570,3,S2D7,955.2
571,3,S2D8,955.2
572,3,S2D9,929.6
573,3,S2D10,929.6
574,3,S2D11,958.4
575,3,S2D12,1000
576,3,S3D1,974.4
577,3,S3D2,1012.8
578,3,S3D3,1032
579,3,S3D4,1028.8
580,3,S3D5,996.8
581,3,S3D6,1032
582,3,S3D7,1035.2
583,3,S3D8,1019.2
584,3,S3D9,1025.6
585,3,S3D10,993.6
586,3,S3D11,993.6
587,3,S3D12,1028.8
588,3,S4D1,1057.6
589,3,S4D2,1054.4
590,3,S4D3,1054.4
591,3,S4D4,1048
592,3,S4D5,1025.6
593,3,S4D6,1025.6
594,3,S4D7,1041.6
595,3,S4D8,993.6
596,3,S4D9,968
597,3,S4D10,980.8
598,3,S4D11,993.6
599,27,S1D1,1000
600,27,S1D2,1000
601,27,S1D3,1000
602,27,S1D4,1000
603,27,S1D5,1000
604,27,S1D6,1000
605,27,S1D7,1000
606,27,S1D8,1000
607,27,S1D9,1000
608,27,S1D10,1000
609,27,S1D11,1000
610,27,S2D1,1000
611,27,S2D2,1000
612,27,S2D3,1000
613,27,S2D4,1000
614,27,S2D5,1000
615,27,S2D6,1000
616,27,S2D7,1000
617,27,S2D8,974.4
618,27,S2D9,974.4
619,27,S2D10,974.4
620,27,S2D11,974.4
