season_id,player,player_id,archetype,games_won,games_played,game_win_rate,matches_won,matches_played,match_win_rate
Season-4,Andrin,5,Aggro,10,19,0.5263157894736842,5,8,0.625
Season-4,Andrin,5,Aggro-Combo,7,8,0.875,3,4,0.75
Season-4,Andrin,5,Aggro-Control (Tempo),5,9,0.5555555555555556,2,4,0.5
Season-4,Andrin,5,Combo,21,48,0.4375,8,20,0.4
Season-4,Andrin,5,Control,12,22,0.5454545454545454,4,8,0.5
Season-4,Dimlas,1,Aggro,13,21,0.6190476190476191,5,8,0.625
Season-4,Dimlas,1,Combo,21,28,0.75,10,12,0.8333333333333334
Season-4,Dimlas,1,Combo-Control,7,11,0.6363636363636364,3,4,0.75
Season-4,Dimlas,1,Control,42,58,0.7241379310344828,20,24,0.8333333333333334
Season-4,Elie,17,Combo,3,9,0.3333333333333333,1,4,0.25
Season-4,Filipe,23,Control-Aggro (Midrange),1,9,0.1111111111111111,0,4,0.0
Season-4,Guy,10,Aggro-Control (Tempo),5,9,0.5555555555555556,2,4,0.5
Season-4,Guy,10,Combo,9,19,0.4736842105263157,3,8,0.375
Season-4,Guy,10,Combo-Control,12,18,0.6666666666666666,6,8,0.75
Season-4,Guy,10,Control,4,8,0.5,2,4,0.5
Season-4,Guy,10,Control-Aggro (Midrange),6,10,0.6,3,4,0.75
Season-4,Ivo,18,Aggro,9,20,0.45,3,8,0.375
Season-4,Ivo,18,Aggro-Combo,6,10,0.6,2,4,0.5
Season-4,Ivo,18,Combo,13,21,0.6190476190476191,5,8,0.625
Season-4,Ivo,18,Combo-Control,14,20,0.7,7,8,0.875
Season-4,Joel K.,12,Aggro,1,8,0.125,0,4,0.0
Season-4,Joel K.,12,Aggro-Combo,5,10,0.5,2,4,0.5
Season-4,Joel K.,12,Aggro-Control (Tempo),1,9,0.1111111111111111,0,4,0.0
Season-4,Joel K.,12,Combo,9,29,0.3103448275862069,1,12,0.0833333333333333
Season-4,Joel K.,12,Control,2,8,0.25,1,4,0.25
Season-4,Joel R.,3,Aggro,4,10,0.4,2,4,0.5
Season-4,Joel R.,3,Control,7,11,0.6363636363636364,3,4,0.75
Season-4,Luca,20,Combo,6,10,0.6,3,4,0.75
Season-4,Lukas Stalder,2,Aggro,17,27,0.6296296296296297,7,12,0.5833333333333334
Season-4,Lukas Stalder,2,Combo,18,30,0.6,7,12,0.5833333333333334
Season-4,Lukas Stalder,2,Combo-Control,8,20,0.4,3,8,0.375
Season-4,Lukas Stalder,2,Control,11,26,0.4230769230769231,4,12,0.3333333333333333
Season-4,Manuel,8,Aggro,24,39,0.6153846153846154,9,16,0.5625
Season-4,Manuel,8,Combo,18,49,0.3673469387755102,5,20,0.25
Season-4,Manuel,8,Combo-Control,5,12,0.4166666666666667,1,4,0.25
Season-4,Manuel,8,Control,3,10,0.3,1,4,0.25
Season-4,Matthias,21,Aggro,7,10,0.7,3,4,0.75
Season-4,Matthias,21,Combo,6,10,0.6,2,4,0.5
Season-4,Matthias,21,Control,6,19,0.3157894736842105,1,8,0.125
Season-4,Matthias,21,Control-Aggro (Midrange),7,11,0.6363636363636364,3,4,0.75
Season-4,Myri,15,Aggro,5,8,0.625,2,4,0.5
Season-4,Myri,15,Aggro-Control (Tempo),2,8,0.25,1,4,0.25
Season-4,Myri,15,Combo,5,10,0.5,2,4,0.5
Season-4,Myri,15,Control-Aggro (Midrange),4,10,0.4,1,4,0.25
Season-4,Noe T.,11,Aggro,11,21,0.5238095238095238,4,8,0.5
