season_id,scryfallId,archetype,count
Season-4,064dfdeb-485f-473e-9fa0-8fdb7638cdc6,Control,3
Season-4,068bb15a-fc2d-42a2-859b-837b946d23c0,Combo,5
Season-4,068bb15a-fc2d-42a2-859b-837b946d23c0,Control,3
Season-4,06c0c35d-a26e-473a-9206-8fbda7191700,Combo,7
Season-4,06c0c35d-a26e-473a-9206-8fbda7191700,Combo-Control,2
Season-4,06cb1bd6-73e0-4104-b344-4bc52d7dcedf,Aggro-Control (Tempo),1
Season-4,06cb1bd6-73e0-4104-b344-4bc52d7dcedf,Combo,4
Season-4,06cb1bd6-73e0-4104-b344-4bc52d7dcedf,Control,3
Season-4,071daca8-ccc6-4707-843e-adac40dd1588,Aggro,6
Season-4,071daca8-ccc6-4707-843e-adac40dd1588,Combo-Control,1
Season-4,071daca8-ccc6-4707-843e-adac40dd1588,Control,1
Season-4,071daca8-ccc6-4707-843e-adac40dd1588,Control-Aggro (Midrange),1
Season-4,07246783-d475-4f61-99ac-e2b574072349,Aggro,1
Season-4,07246783-d475-4f61-99ac-e2b574072349,Combo-Control,1
Season-4,07246783-d475-4f61-99ac-e2b574072349,Control-Aggro (Midrange),2
Season-4,07313dd3-d0dc-40ca-98a3-fa4d39e5bcae,Aggro,5
Season-4,07313dd3-d0dc-40ca-98a3-fa4d39e5bcae,Aggro-Control (Tempo),1
Season-4,07313dd3-d0dc-40ca-98a3-fa4d39e5bcae,Combo-Control,2
Season-4,07313dd3-d0dc-40ca-98a3-fa4d39e5bcae,Control-Aggro (Midrange),2
Season-4,073bfdca-d7b8-4f4b-93f3-6e7c44bc0b0a,Combo,4
Season-4,073bfdca-d7b8-4f4b-93f3-6e7c44bc0b0a,Combo-Control,2
Season-4,073bfdca-d7b8-4f4b-93f3-6e7c44bc0b0a,Control,4
Season-4,0783b426-a527-42c1-9271-be28b229e1c6,Combo,2
Season-4,079e6263-e54c-4899-a336-5315909b9322,Aggro,5
