season_id,scryfallId,matches_played,matches_won,match_win_rate
Season-4,2b5801fb-2026-4f25-98bc-ebb2f99684b9,24.0,17.0,0.7083333333333334
Season-4,2b73d294-6ab1-4051-9b0f-d8e335d37674,36.0,22.0,0.6111111111111112
Season-4,2b74bb81-fb9a-40e5-a941-e517430b52f5,24.0,9.0,0.375
Season-4,2b9b0195-beda-403e-bc27-7ae3be9f318c,36.0,18.0,0.5
Season-4,2be39749-ad6f-4160-99eb-c677eee7f1b2,40.0,20.0,0.5
Season-4,2bf2da97-3331-4614-b4ff-f03d061500a7,36.0,20.0,0.5555555555555556
Season-4,2c695df6-6bf2-4e6b-8500-e3116137ca27,36.0,13.0,0.3611111111111111
Season-4,2d9b12cc-f616-4b52-91eb-a430e70f9251,12.0,4.0,0.3333333333333333
Season-4,2da5f3f8-5eef-498f-ba2c-2f3fbc3745aa,20.0,6.0,0.3
Season-4,2dc16614-5cf8-444d-a5ae-cac25018af68,32.0,18.0,0.5625
Season-4,2e139ad1-1079-49e9-babd-6399c44ad333,16.0,11.0,0.6875
Season-4,2ef878cb-27b6-47d8-ad11-bd20529b0e7e,20.0,12.0,0.6
Season-4,2f8f22fb-7291-4517-9b15-e98501f2856b,16.0,9.0,0.5625
Season-4,3003d481-1b52-4aa9-bbdc-e948fbc8d49d,28.0,16.0,0.5714285714285714
Season-4,3027e6c5-eed3-44e7-bb12-67569721af99,8.0,3.0,0.375
Season-4,3028075c-5fc5-4942-a984-1ffcf7a8933d,32.0,17.0,0.53125
Season-4,30377bf0-d9b1-4c14-8dde-f74b1e02d604,48.0,20.0,0.4166666666666667
Season-4,307543ca-8e17-433f-9758-4c77da6c0870,0.0,0.0,0.0
Season-4,310a1c46-8331-4a09-9fcb-d942f8102364,44.0,32.0,0.7272727272727273
Season-4,311a6257-dd77-4bb6-81cb-c8e7862350f3,32.0,19.0,0.59375
Season-4,312a6058-de08-487d-95bd-b3c56807fdd6,0.0,0.0,0.0
Season-4,31b770cc-09e7-4c0b-b2a4-462ab4f7200d,32.0,12.0,0.375
Season-4,32126592-a988-4171-b52e-cca80b881aff,0.0,0.0,0.0
Season-4,3277ad99-5682-4baa-b106-de15721876a6,24.0,15.0,0.625
Season-4,327cf118-cc92-4073-85d0-94d2a0a6989a,40.0,21.0,0.525
Season-4,329a8738-3e17-403a-857a-0ba529ce8cd1,40.0,12.0,0.3
Season-4,329f3aca-6db7-41d3-95b2-c479d14b7fa3,0.0,0.0,0.0
Season-4,32a180dd-9641-4546-8940-9b21084f0c71,40.0,19.0,0.475
Season-4,32aa6e33-221f-414c-9b51-850d97a7e051,28.0,15.0,0.5357142857142857
Season-4,32e29c7d-ed4b-4eff-b3c2-d99e5b63ef8d,12.0,3.0,0.25
Season-4,33672990-4860-4aa6-ac1b-f9da66f5da59,28.0,12.0,0.42857142857142855
Season-4,33ab05b5-d6f5-439c-9aed-1a58ceb282ad,24.0,15.0,0.625
Season-4,33ca68a6-474e-4d86-bffa-ee4bddb4a3cf,24.0,8.0,0.3333333333333333
Season-4,345a1c80-41d6-43b1-83ab-1aa56dd06b1b,4.0,1.0,0.25
Season-4,345a4aee-5846-4ae9-9af1-4c8fe8d692ec,40.0,16.0,0.4
Season-4,345e053a-3178-485c-8602-1624bbf2f064,0.0,0.0,0.0
Season-4,345fd005-5052-4500-a260-3649500e21f4,8.0,5.0,0.625
Season-4,3462a3d0-5552-49fa-9eb7-100960c55891,32.0,9.0,0.28125
Season-4,35f1a6ba-e46f-44fb-93f4-fb883d677b36,28.0,14.0,0.5
Season-4,377cee38-e769-47b0-abd5-0f528600f36a,36.0,20.0,0.5555555555555556
Season-4,37dbe1a3-3c44-452b-9fb9-37f5d793d0b5,28.0,12.0,0.42857142857142855
Season-4,39b41cb3-ca3d-4389-8f66-e1f77f5fb683,16.0,8.0,0.5
Season-4,39c431d7-d94b-46c4-bb89-f3db56214ab4,20.0,10.0,0.5
Season-4,3a2d7cf9-dddb-4de3-b4f2-c52e3ec8fb4b,32.0,18.0,0.5625
Season-4,3a9d1082-a862-45d4-9e5e-392e879fead6,20.0,11.0,0.55
Season-4,3b214b6f-4734-4200-8467-92d7e3469b5d,28.0,9.0,0.32142857142857145
Season-4,3b5233ff-03bc-4053-9b49-c4185c2de38d,28.0,11.0,0.39285714285714285
Season-4,3b6e5956-f795-451b-bb24-56462d1ced27,32.0,9.0,0.28125
Season-4,3ba95ffa-990a-4013-98b7-5d8c0b34e9c4,0.0,0.0,0.0
Season-4,3bd1ec98-8188-4649-899e-b0972509fc7e,20.0,11.0,0.55
Season-4,3c02b8ee-84cb-44cb-ba14-9e725a9d03ee,36.0,15.0,0.4166666666666667
Season-4,3c0f5411-1940-410f-96ce-6f92513f753a,0.0,0.0,0.0
Season-4,3c1bf210-ecdb-4b49-8504-51360c269e66,0.0,0.0,0.0
Season-4,3c3ac3dd-35db-447f-8674-37b4680a1ef7,24.0,13.0,0.5416666666666666
Season-4,3ca1e1de-b916-445f-b3b2-0f4d0cc7ceeb,28.0,12.0,0.42857142857142855
Season-4,3d3025a2-4a17-4137-ba0b-bd676c6f5f88,28.0,13.0,0.4642857142857143
Season-4,3d71be5f-0fd7-4a88-8041-f4d6bc4cc9ac,0.0,0.0,0.0
Season-4,3d8ca18d-9099-4f1e-95c1-f04da58a26bd,44.0,25.0,0.5681818181818182
Season-4,3e1766e9-2fa7-4446-a255-7beea1467ece,0.0,0.0,0.0
Season-4,3e7da55c-7f05-46b2-aa3c-17f8d5df46bb,8.0,4.0,0.5
Season-4,3ee3945e-5089-4751-b7b3-5961c39d2a33,28.0,15.0,0.5357142857142857
Season-4,3f3c77ad-fce8-4506-90e1-7ef71552a71c,36.0,15.0,0.4166666666666667
Season-4,3faa8c5e-9e1b-4cee-b322-a033bf33dcbc,16.0,10.0,0.625
Season-4,400382a4-aea2-4827-b06a-1b0b3745908b,48.0,24.0,0.5
Season-4,416d2d51-8f29-4e95-b037-e8c32b081e6c,32.0,17.0,0.53125
Season-4,41e108a5-4e2f-42cf-9ea1-87bf3c0a2b7f,28.0,12.0,0.42857142857142855
Season-4,4216656e-90e8-45fc-a0f6-0d0d79d0a021,32.0,12.0,0.375
Season-4,425bff89-ad15-4d22-bce9-a4a07dbafd87,0.0,0.0,0.0
Season-4,43aa7e35-55ee-4e02-a8aa-ea2b267055d1,32.0,17.0,0.53125
